game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
Pro Evolution Soccer 2010,2009-10-23,78,6.9,49,156321,3093,68,0,2613,8,49,Sports,E,5,3,0,1,0,0,3190.22448979592,Pro Evolution Soccer 2010,http://www.vgchartz.com/game/33402/pro-evolution-soccer-2010/,0.01
Call of Juarez: Bound in Blood,2009-06-30,78,8,18,3411278,19208,883,0,2228,39,283,Action,M,28,10,1,25,13,13,189515.444444444,Call of Juarez: Bound in Blood,http://www.vgchartz.com/game/30703/call-of-juarez-bound-in-blood/,0.03
Nancy Drew: The Ransom of the Seven Ships,2009-07-14,78,8.6,11,9373,172,2,0,51,7,5,Adventure,E,NA,NA,NA,NA,NA,NA,852.090909090909,Nancy Drew: The Ransom of the Seven Ships,http://www.vgchartz.com/gamedb/?name=Nancy+Drew%3A+The+Ransom+of+the+Seven+Ships,NA
Fallout 3: The Pitt,2009-03-24,78,6.9,33,59110,735,30,0,197,15,94,Role-Playing,M,11,4,0,1,5,5,1791.21212121212,Fallout 3,http://www.vgchartz.com/game/13869/fallout-3/,0.98
ArmA II,2009-06-26,77,7.5,50,697388,2570,96,0,726,38,590,Action,M,23,15,0,105,37,37,13947.76,ArmA II,http://www.vgchartz.com/game/31777/arma-ii/,0.14
Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,2009-08-20,77,7.5,31,339291,1846,66,0,437,36,38,Adventure,E10+,25,11,0,3,3,3,10944.8709677419,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,http://www.vgchartz.com/gamedb/?name=Tales+of+Monkey+Island+Chapter+2%3A+The+Siege+of+Spinner+Cay,0
Hearts of Iron III,2009-08-11,77,7.1,38,7332765,189306,3894,0,75764,23,234,Strategy,E10+,18,5,0,31,11,11,192967.5,Hearts of Iron III,http://www.vgchartz.com/game/29831/hearts-of-iron-iii/,0.08
The Void,2009-12-15,77,8.3,48,108632,754,33,0,273,12,97,Action Adventure,NA,8,4,0,19,3,3,2263.16666666667,The Void,http://www.vgchartz.com/game/41893/the-void/,0.03
Rise of Flight: The First Great Air War,2009-06-29,77,7.6,42,14079579,162399,3974,0,61347,14,79,Simulation,E10+,9,5,0,21,4,4,335228.071428571,Rise of Flight: The First Great Air War,http://www.vgchartz.com/gamedb/?name=Rise+of+Flight%3A+The+First+Great+Air+War,0
Risen,2009-10-02,77,8.1,47,111164,2427,30,0,667,32,686,Role-Playing,M,21,11,0,85,25,25,2365.1914893617,Risen,http://www.vgchartz.com/game/33934/risen/,0.14
X-Men Origins: Wolverine,2009-05-01,77,8.1,17,10447,322,13,0,95,22,133,Action,M,14,8,0,2,4,4,614.529411764706,X-Men Origins: Wolverine,NA,NA
Men of War: Red Tide,2009-11-01,77,8.2,16,539512,665,220,0,77,10,33,Strategy,T,8,2,0,4,1,1,33719.5,Men of War: Red Tide,http://www.vgchartz.com/game/40380/men-of-war-red-tide/,0
Aion,2009-09-22,76,6.6,18,1103888,11467,245,0,702,42,419,Role-Playing,T,29,12,1,79,33,33,61327.1111111111,Aion,NA,NA
Peggle Nights,2009-03-26,76,8.1,47,24430563,126022,6327,0,15813,15,24,Miscellaneous,E,10,5,0,2,0,0,519799.212765957,Peggle Nights,http://www.vgchartz.com/game/33872/peggle-nights/,0.02
Operation Flashpoint: Dragon Rising,2009-10-06,76,4.9,10,79551,414,14,0,235,29,539,Action,M,18,11,0,32,32,32,7955.1,Operation Flashpoint: Dragon Rising,http://www.vgchartz.com/game/23420/operation-flashpoint-dragon-rising/,0.06
The Saboteur,2009-12-08,76,7.9,19,41019,213,17,0,65,20,239,Action Adventure,M,13,7,0,38,10,10,2158.89473684211,The Saboteur,http://www.vgchartz.com/game/33813/the-saboteur/,0.06
Nancy Drew: Warnings at Waverly Academy,2009-10-13,76,6.7,37,234126,2946,119,0,405,8,10,Adventure,E,4,4,0,0,1,1,6327.72972972973,Nancy Drew: Warnings at Waverly Academy,http://www.vgchartz.com/gamedb/?name=Nancy+Drew%3A+Warnings+at+Waverly+Academy,0
"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",2009-03-23,76,7.5,5,22060,290,1,0,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4412,"Wallace & Gromit's Grand Adventures, Episode 1: Fright of the Bumblebees",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Demigod,2009-04-14,76,7.9,7,6871,106,11,0,33,50,183,Strategy,T,31,19,0,46,10,10,981.571428571429,Demigod,http://www.vgchartz.com/game/26398/demigod/,0.02
FIFA Manager 10,2009-10-30,75,5.5,47,46780798,717596,12678,0,155212,22,24,Sports,E,13,8,1,4,3,3,995336.127659575,FIFA Manager 10,http://www.vgchartz.com/gamedb/?name=FIFA+Manager+10,0
"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",2009-06-15,75,7.5,50,182860,611,24,0,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3657.2,"Wallace & Gromit's Grand Adventures, Episode 3: Muzzled!",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
BattleForge,2009-03-23,75,7,47,112941,1340,21,0,352,37,112,Strategy,T,24,13,0,15,2,2,2403,BattleForge,http://www.vgchartz.com/game/29179/battleforge/,0.01
And Yet It Moves,2009-04-02,75,6.2,40,1292250,6967,186,0,1473,10,110,Action,E,6,4,0,9,13,13,32306.25,And Yet It Moves,http://www.vgchartz.com/game/34072/and-yet-it-moves/,NA
The Dark Eye: Drakensang,2009-02-23,75,8.6,18,116625,403,16,0,187,35,155,Role-Playing,T,23,12,0,24,5,5,6479.16666666667,The Dark Eye: Drakensang,http://www.vgchartz.com/gamedb/?name=The+Dark+Eye%3A+Drakensang,NA
Battlestations: Pacific,2009-05-12,74,8.4,35,920481,6633,114,0,1824,31,46,Strategy,T,19,12,0,10,1,1,26299.4571428571,Battlestations: Pacific,http://www.vgchartz.com/game/32029/battlestations-pacific/,0.03
Ghostbusters: The Video Game,2009-06-16,74,7.7,40,3050890,7743,2847,0,874,26,131,Action,T,16,10,0,26,13,13,76272.25,Ghostbusters: The Video Game,http://www.vgchartz.com/gamedb/?name=Ghostbusters%3A+The+Video+Game,0
Wolfenstein,2009-08-18,74,7.3,41,51996,706,29,0,263,41,267,Action,M,25,16,0,43,21,21,1268.19512195122,Wolfenstein,http://www.vgchartz.com/game/34956/wolfenstein/,0.05
Mini Ninjas,2009-09-08,74,8.3,49,535510,3048,248,0,1259,14,78,Action Adventure,E10+,6,8,0,15,1,1,10928.7755102041,Mini Ninjas,http://www.vgchartz.com/game/30852/mini-ninjas/,0.02
RACE On,2009-10-05,73,8.2,27,7801032,6979,4131,0,441,14,20,Driving,E,8,6,0,1,0,0,288927.111111111,RACE On,http://www.vgchartz.com/game/40041/race-on/,0.03
Sherlock Holmes vs. Jack the Ripper,2009-05-26,73,8.1,44,331518,6012,425,0,2158,26,43,Adventure,T,13,13,0,4,2,2,7534.5,Sherlock Holmes vs. Jack the Ripper,http://www.vgchartz.com/game/32866/sherlock-holmes-vs-jack-the-ripper/,0.01
Neverwinter Nights 2: Mysteries of Westgate,2009-04-29,73,7.3,36,73005,1173,28,0,216,11,18,Role-Playing,T,5,6,0,1,0,0,2027.91666666667,Neverwinter Nights 2,http://www.vgchartz.com/game/7446/neverwinter-nights-2/,0.02
Ceville,2009-09-28,73,8.2,31,45254,616,11,0,406,17,21,Adventure,E,8,9,0,4,1,1,1459.8064516129,Ceville,http://www.vgchartz.com/game/25901/ceville/,0.02
Gratuitous Space Battles,2009-11-16,72,6.7,47,9324715,56257,2519,0,9443,11,76,Strategy,NA,4,7,0,14,8,8,198398.191489362,Gratuitous Space Battles,http://www.vgchartz.com/gamedb/?name=Gratuitous+Space+Battles,0
Majesty 2: The Fantasy Kingdom Sim,2009-09-17,72,7.3,24,1285452,4029,162,0,555,31,129,Strategy,T,17,14,0,17,15,15,53560.5,Majesty 2: The Fantasy Kingdom Sim,http://www.vgchartz.com/game/33991/majesty-2-the-fantasy-kingdom-sim/,0.02
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",2009-07-30,72,7.9,20,74146,1985,47,0,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3707.3,"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Grand Ages: Rome,2009-03-17,72,8,47,9324715,56257,2519,0,9443,18,40,Strategy,T,8,10,0,9,3,3,198398.191489362,Grand Ages: Rome,http://www.vgchartz.com/game/32135/grand-ages-rome/,0
"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",2009-05-05,72,8.6,31,37149,390,31,0,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.35483870968,"Wallace & Gromit's Grand Adventures, Episode 2: The Last Resort",http://www.vgchartz.com/gamedb/?name=Wallace+&+Gromit's+Grand+Adventures%2C+Episode+1%3A+Fright+of+the+Bumblebees,0
Section 8,2009-08-25,72,7,5,33242363,118108,11237,0,14786,31,78,Action,T,15,15,1,17,4,4,6648472.6,Section 8,http://www.vgchartz.com/game/31787/section-8/,0.04
Champions Online,2009-09-01,72,6.2,47,91575,1727,35,0,120,40,251,Role-Playing,T,21,18,1,42,20,20,1948.40425531915,Champions Online,http://www.vgchartz.com/game/32001/champions-online/,0.01
World in Conflict: Soviet Assault,2009-03-10,72,8.3,46,687939,10100,224,0,554,21,56,Strategy,T,11,9,1,13,2,2,14955.1956521739,World in Conflict: Soviet Assault,http://www.vgchartz.com/game/25257/world-in-conflict-soviet-assault/,0
Saints Row 2,2009-01-05,72,6.8,36,6896738,86311,2112,0,19002,24,380,Action Adventure,M,10,14,0,52,23,23,191576.055555556,Saints Row 2,http://www.vgchartz.com/game/19892/saints-row-2/,0.04
Mevo & the Grooveriders,2009-03-20,72,6.2,48,244882,3720,136,0,1073,8,27,Miscellaneous,NA,3,5,0,2,1,1,5101.70833333333,Mevo & the Grooveriders,http://www.vgchartz.com/gamedb/?name=Mevo+&+the+Grooveriders,NA
Mass Effect 2,2010-01-26,94,8.8,34,113625,1279,30,0,430,55,3605,Role-Playing,M,54,1,0,405,97,97,3341.91176470588,Mass Effect 2,http://www.vgchartz.com/game/28816/mass-effect-2/,0.39
Starcraft II: Wings of Liberty,2010-07-27,93,8.2,29,20127260,100465,5148,0,6644,82,3064,Strategy,T,82,0,0,547,144,144,694043.448275862,Starcraft II: Wings of Liberty,http://www.vgchartz.com/gamedb/?name=Starcraft+II%3A+Wings+of+Liberty,4.86
World of Warcraft: Cataclysm,2010-12-07,90,5.5,11,4001,77,3,0,58,53,959,Role-Playing,T,53,0,0,56,64,64,363.727272727273,World of Warcraft: Cataclysm,http://www.vgchartz.com/game/38102/world-of-warcraft-cataclysm/,2.09
Braid,2010-01-26,90,8.6,49,66903,2062,20,0,813,11,825,Action,E10+,11,0,0,121,15,15,1365.36734693878,Braid,http://www.vgchartz.com/game/25237/braid/,0.03
Sid Meier's Civilization V,2010-09-21,90,7.9,19,33585,412,12,0,61,70,2307,Strategy,E10+,66,4,0,251,113,113,1767.63157894737,Sid Meier's Civilization V,http://www.vgchartz.com/game/43507/sid-meiers-civilization-v/,1.69
BioShock 2,2010-02-09,88,8,6,24853,189,5,0,47,36,1260,Action,M,34,2,0,122,35,35,4142.16666666667,BioShock 2,http://www.vgchartz.com/game/28003/bioshock-2/,0.24
Battlefield: Bad Company 2,2010-03-02,87,8.3,24,31359,486,13,0,125,46,1477,Action,M,45,1,0,271,48,48,1306.625,Battlefield: Bad Company 2,http://www.vgchartz.com/game/31444/battlefield-bad-company-2/,0.72
Monkey Island 2 Special Edition: LeChuck's Revenge,2010-07-07,87,8.9,47,144132,1356,47,0,479,27,194,Adventure,E10+,27,0,0,13,1,1,3066.63829787234,Monkey Island 2 Special Edition: LeChuck's Revenge,http://www.vgchartz.com/gamedb/?name=Monkey+Island+2+Special+Edition%3A+LeChuck's+Revenge,0
Borderlands: The Secret Armory of General Knoxx,2010-02-25,86,7.2,47,9324746,56257,2519,0,9443,7,85,Action,M,7,0,0,6,3,3,198398.85106383,Borderlands,http://www.vgchartz.com/game/13873/borderlands/,0.18
Need for Speed: Hot Pursuit,2010-11-16,86,6.7,39,121457,1534,59,0,312,14,561,Driving,E10+,13,1,0,52,29,29,3114.28205128205,Need for Speed: Hot Pursuit,http://www.vgchartz.com/game/45659/need-for-speed-hot-pursuit/,0.37
Mass Effect 2: Lair of the Shadow Broker,2010-09-07,86,8.6,12,89681,547,12,0,326,11,197,Role-Playing,M,10,1,0,14,2,2,7473.41666666667,Mass Effect 2,http://www.vgchartz.com/game/28816/mass-effect-2/,0.39
Battlefield: Bad Company 2 Vietnam,2010-12-18,86,8,47,9324746,56257,2519,0,9443,18,192,Action,M,18,0,0,36,11,11,198398.85106383,Battlefield: Bad Company 2 Vietnam,http://www.vgchartz.com/game/49468/battlefield-bad-company-2-vietnam/,NA
Assassin's Creed II,2010-03-09,86,6.9,23,10350,80,9,0,44,22,1631,Action Adventure,M,21,1,0,93,30,30,450,Assassin's Creed II,http://www.vgchartz.com/game/33563/assassins-creed-ii/,0.55
Football Manager 2011,2010-11-23,85,8.4,5,177869,1033,68,0,132,23,79,Sports,E,22,1,0,12,2,2,35573.8,Football Manager 2011,http://www.vgchartz.com/game/43886/football-manager-2011/,1.26
"Warhammer 40,000: Dawn of War II - Chaos Rising",2010-03-10,85,8.7,20,572467,3137,107,0,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28623.35,Warhammer 40,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/,0.47
Fallout: New Vegas,2010-10-19,84,8.6,49,415390,2527,95,0,611,39,2797,Role-Playing,M,36,3,0,400,85,85,8477.34693877551,Fallout: New Vegas,http://www.vgchartz.com/game/33664/fallout-new-vegas/,1.17
Just Cause 2,2010-03-23,84,7.7,50,7614139,79368,3296,0,25346,33,844,Action Adventure,M,31,2,0,129,44,44,152282.78,Just Cause 2,http://www.vgchartz.com/game/24233/just-cause-2/,0.13
F1 2010,2010-09-21,84,6.6,50,68040,590,163,0,422,15,100,Driving,E,14,1,0,18,5,5,1360.8,F1 2010,http://www.vgchartz.com/game/33785/f1-2010/,0.05
Shatter,2010-03-15,84,7.4,35,923362,15022,181,0,2875,13,71,Action,E,13,0,0,10,4,4,26381.7714285714,Shatter,http://www.vgchartz.com/gamedb/?name=Shatter,0
FIFA Soccer 11,2010-09-28,83,7.7,49,3552861,16825,619,0,4335,16,102,Sports,E,13,3,0,18,1,1,72507.3673469388,FIFA Soccer 11,http://www.vgchartz.com/game/43326/fifa-soccer-11/,0.18
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,2010-05-18,83,7.8,45,7717948,60576,991,0,11086,24,20,Miscellaneous,T,21,3,0,1,0,0,171509.955555556,Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,http://www.vgchartz.com/gamedb/?name=Sam+&+Max+Episode+105%3A+Reality+2.0,0
Darksiders,2010-09-22,83,7.7,17,76918,1070,17,0,137,18,610,Action Adventure,M,18,0,0,100,21,21,4524.58823529412,Darksiders,http://www.vgchartz.com/game/44396/darksiders/,0.15
Age of Conan: Rise of the Godslayer,2010-05-11,83,8.4,46,2107403,26170,527,0,5109,14,52,Role-Playing,M,13,1,0,6,0,0,45813.1086956522,Age of Conan: Rise of the Godslayer,http://www.vgchartz.com/game/38351/age-of-conan-rise-of-the-godslayer/,0.03
Torchlight,2010-01-05,83,8,38,1107304,11540,497,0,2459,57,798,Role-Playing,T,50,7,0,164,42,42,29139.5789473684,Torchlight,http://www.vgchartz.com/game/38915/torchlight/,0.07
Tom Clancy's Splinter Cell: Conviction,2010-04-27,83,5.2,50,143153,1154,52,0,365,20,675,Action Adventure,M,16,4,0,39,24,24,2863.06,Tom Clancy's Splinter Cell: Conviction,http://www.vgchartz.com/game/14891/tom-clancys-splinter-cell-conviction/,0.11
Bejeweled 3,2010-12-07,82,8.1,48,1615778,14878,337,0,3294,27,88,Miscellaneous,E,25,2,0,10,1,1,33662.0416666667,Bejeweled 3,http://www.vgchartz.com/game/48328/bejeweled-3/,0.09
Dragon Age: Origins - Awakening,2010-03-16,82,7.8,20,363960,6273,206,0,1768,38,406,Role-Playing,M,36,2,0,17,18,18,18198,Dragon Age: Origins,http://www.vgchartz.com/game/33504/dragon-age-origins/,0.51
Lara Croft and the Guardian of Light,2010-09-28,82,8.1,50,13573617,80048,2994,0,8202,13,158,Action Adventure,T,11,2,0,30,5,5,271472.34,Lara Croft and the Guardian of Light,http://www.vgchartz.com/gamedb/?name=Lara+Croft+and+the+Guardian+of+Light,0
Desktop Dungeons,2010-10-17,82,8.2,49,417477,3348,52,0,809,12,56,Role-Playing,NA,9,3,0,11,0,0,8519.9387755102,Desktop Dungeons,http://www.vgchartz.com/gamedb/?name=Desktop+Dungeons,NA
Recettear: An Item Shop's Tale,2010-09-10,82,8.6,43,150857,1364,41,0,600,12,155,Miscellaneous,NA,10,2,0,30,11,11,3508.3023255814,Recettear: An Item Shop's Tale,http://www.vgchartz.com/gamedb/?name=Recettear%3A+An+Item+Shop's+Tale,0
King's Bounty: Armored Princess,2010-09-10,82,8.6,49,6670365,62598,1530,0,11243,25,161,Role-Playing,T,23,2,0,11,5,5,136129.897959184,King's Bounty: Armored Princess,http://www.vgchartz.com/game/40507/kings-bounty-armored-princess/,0.01
Divinity II: The Dragon Knight Saga,2010-11-05,82,8.2,28,1078280,3577,228,0,567,9,196,Role-Playing,M,8,1,0,40,6,6,38510,Divinity II: The Dragon Knight Saga,http://www.vgchartz.com/gamedb/?name=Divinity+II%3A+The+Dragon+Knight+Saga,0
VVVVVV,2010-01-11,81,8.1,32,304278,3649,115,0,618,15,219,Action,NA,13,2,0,42,13,13,9508.6875,VVVVVV,http://www.vgchartz.com/gamedb/?name=VVVVVV,0
Metro 2033,2010-03-16,81,8.1,49,2723069,59684,1551,0,12588,40,1478,Action,M,34,6,0,212,71,71,55572.8367346939,Metro 2033,http://www.vgchartz.com/game/40227/metro-2033/,0.24
Blur,2010-05-25,81,7.4,48,616195,14331,273,0,1547,24,178,Driving,E10+,21,3,0,24,8,8,12837.3958333333,Blur,http://www.vgchartz.com/game/38149/blur/,0.06
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,2010-04-15,81,8.3,34,110492,2189,38,0,396,30,24,Miscellaneous,E10+,24,6,0,2,0,0,3249.76470588235,Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,NA,NA
Napoleon: Total War,2010-02-23,81,7.9,21,502094,4814,79,0,904,56,518,Strategy,T,49,6,1,35,11,11,23909.2380952381,Napoleon: Total War,http://www.vgchartz.com/game/37881/napoleon-total-war/,0.67
Call of Duty: Black Ops,2010-11-09,81,5.2,7,673368,24195,426,0,4536,29,1660,Action,M,20,9,0,143,96,96,96195.4285714286,Call of Duty: Black Ops,http://www.vgchartz.com/game/44950/call-of-duty-black-ops/,1.63
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,2010-08-30,81,8,1,134899,12809,117,0,1370,21,13,Miscellaneous,E10+,16,4,1,2,0,0,134899,Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,http://www.vgchartz.com/gamedb/?name=Sam+&+Max+Episode+105%3A+Reality+2.0,0
Toki Tori,2010-01-28,80,7.9,44,542312,4241,92,0,893,10,102,Miscellaneous,E,9,1,0,9,3,3,12325.2727272727,Toki Tori,http://www.vgchartz.com/gamedb/?name=Toki+Tori,0
S.T.A.L.K.E.R.: Call of Pripyat,2010-02-02,80,8.7,35,68298,587,26,0,158,44,613,Action,M,36,8,0,63,13,13,1951.37142857143,S.T.A.L.K.E.R.: Call of Pripyat,http://www.vgchartz.com/game/34014/stalker-call-of-pripyat/,0.06
Revenge of the Titans,2010-05-24,79,7.6,36,83864,693,17,0,292,11,81,Strategy,NA,10,1,0,10,10,10,2329.55555555556,Revenge of the Titans,http://www.vgchartz.com/game/49183/revenge-of-the-titans/,0
Cart Life,2010-07-29,79,5.9,49,1101242,11341,292,0,2794,8,19,Simulation,NA,7,1,0,2,2,2,22474.3265306122,Cart Life,http://www.vgchartz.com/gamedb/?name=Cart+Life,0
Worms Reloaded,2010-08-26,79,6.8,43,585659,4547,283,0,939,28,185,Strategy,E10+,24,4,0,19,14,14,13619.976744186,Worms Reloaded,http://www.vgchartz.com/game/46480/worms-reloaded/,0.05
Puzzle Dimension,2010-06-21,79,7.6,49,91752,244,5,0,412,9,33,Miscellaneous,E,6,3,0,3,1,1,1872.48979591837,Puzzle Dimension,http://www.vgchartz.com/gamedb/?name=Puzzle+Dimension,0
Split/Second,2010-05-18,79,8.2,48,659375,3966,198,0,799,18,116,Driving,E10+,16,2,0,8,1,1,13736.9791666667,Split/Second,http://www.vgchartz.com/game/32538/splitsecond/,0.04
Tropico 3: Absolute Power,2010-05-17,79,7.6,42,214467,10700,137,0,1094,11,16,Strategy,T,NA,NA,NA,NA,NA,NA,5106.35714285714,Tropico 3,http://www.vgchartz.com/game/34534/tropico-3/,0.04
The Misadventures of P.B. Winterbottom,2010-04-20,79,8.3,47,35859,607,26,0,210,12,52,Miscellaneous,E,10,2,0,10,1,1,762.957446808511,The Misadventures of P.B. Winterbottom,http://www.vgchartz.com/gamedb/?name=The+Misadventures+of+P.B.+Winterbottom,0
The Settlers 7: Paths to a Kingdom,2010-03-23,79,5.2,48,86793,616,58,0,252,33,214,Strategy,E10+,28,5,0,15,8,8,1808.1875,The Settlers 7: Paths to a Kingdom,http://www.vgchartz.com/game/42083/the-settlers-7-paths-to-a-kingdom/,0.31
LEGO Harry Potter: Years 1-4,2010-06-29,79,7.9,44,136631,828,22,0,274,15,62,Action Adventure,E10+,12,3,0,2,1,1,3105.25,LEGO Harry Potter: Years 1-4,http://www.vgchartz.com/game/42748/lego-harry-potter-years-1-4/,0.04
Dead Rising 2,2010-09-27,78,6.3,42,1027175,7204,210,0,2514,17,213,Action Adventure,M,14,3,0,26,13,13,24456.5476190476,Dead Rising 2,http://www.vgchartz.com/game/31568/dead-rising-2/,0.14
Mount & Blade: Warband,2010-03-30,78,8.7,40,291445,9575,109,0,811,23,766,Role-Playing,T,18,5,0,162,19,19,7286.125,Mount & Blade: Warband,http://www.vgchartz.com/game/32796/mount-amp-blade-warband/,0.02
King's Bounty: Crossworlds,2010-09-17,78,8.6,12,13517,106,4,0,52,13,82,Strategy,T,9,4,0,4,1,1,1126.41666666667,King's Bounty: Crossworlds,http://www.vgchartz.com/gamedb/?name=King's+Bounty%3A+Crossworlds,0
Dawn of Discovery: Venice,2010-02-26,78,8.3,1,134899,12809,117,0,1370,16,15,Simulation,T,11,5,0,1,0,0,134899,Dawn of Discovery: Venice,http://www.vgchartz.com/game/43365/dawn-of-discovery-venice/,0.01
Mafia II,2010-08-23,77,7.9,49,2506915,15054,294,0,5070,46,1261,Action Adventure,M,35,9,2,122,68,68,51161.5306122449,Mafia II,http://www.vgchartz.com/game/21856/mafia-ii/,0.4
Zeno Clash,2010-02-07,77,7.9,45,3266446,25462,1007,0,6080,41,291,Action,T,26,15,0,39,24,24,72587.6888888889,Zeno Clash,http://www.vgchartz.com/gamedb/?name=Zeno+Clash,0
Alien Swarm,2010-07-19,77,8.2,1,134899,12809,117,0,1370,11,416,Action,NA,8,3,0,52,18,18,134899,Alien Swarm,http://www.vgchartz.com/game/46215/alien-swarm/,NA
Supreme Commander 2,2010-03-02,77,6.2,9,3789,66,2,0,35,54,804,Strategy,E10+,37,16,1,45,14,14,421,Supreme Commander 2,http://www.vgchartz.com/game/34946/supreme-commander-2/,0.19
The Dream Machine,2010-12-14,77,8.7,41,339557,4000,264,0,1328,10,34,Action,NA,8,2,0,7,0,0,8281.87804878049,The Dream Machine,http://www.vgchartz.com/gamedb/?name=The+Dream+Machine,NA
Heroes of Newerth,2010-05-12,76,7.3,20,4462086,18380,1035,0,1269,12,226,Strategy,NA,7,5,0,28,14,14,223104.3,Heroes of Newerth,http://www.vgchartz.com/gamedb/?name=Heroes+of+Newerth,0
Plain Sight,2010-04-05,76,7.7,6,1821376,13406,274,0,732,32,31,Action,NA,18,14,0,5,0,0,303562.666666667,Plain Sight,http://www.vgchartz.com/gamedb/?name=Plain+Sight,0
R.U.S.E.,2010-09-07,76,8.1,41,50853,1539,50,0,341,33,177,Strategy,T,21,12,0,48,7,7,1240.31707317073,R.U.S.E.,http://www.vgchartz.com/game/32917/ruse/,0.27
Serious Sam HD: The Second Encounter,2010-04-28,76,8,7,561576,1243,151,0,125,20,145,Action,M,11,9,0,13,4,4,80225.1428571429,Serious Sam HD: The Second Encounter,http://www.vgchartz.com/gamedb/?name=Sam+&+Max+Episode+105%3A+Reality+2.0,0
Greed Corp,2010-12-10,76,7.1,26,146019,2131,63,0,409,7,44,Strategy,E,5,2,0,9,8,8,5616.11538461538,Greed Corp,http://www.vgchartz.com/game/43609/greed-corp/,0.01
Din's Curse,2010-03-31,76,7.6,49,68485,1107,45,0,311,10,22,Role-Playing,T,6,4,0,7,2,2,1397.65306122449,Din's Curse,http://www.vgchartz.com/gamedb/?name=Din's+Curse,NA
Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,2010-07-20,76,8,8,10883,82,4,0,36,19,15,Miscellaneous,E10+,12,7,0,1,0,0,1360.375,Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,http://www.vgchartz.com/gamedb/?name=Sam+&+Max+Episode+105%3A+Reality+2.0,0
Victoria II,2010-08-13,75,8.2,46,152207,883,45,0,187,17,135,Strategy,T,10,7,0,20,7,7,3308.84782608696,Victoria II,http://www.vgchartz.com/game/38883/victoria-ii/,0
FIFA Manager 11,2010-11-03,75,5.5,50,10290704,52232,5021,0,5369,9,23,Sports,E,7,2,0,1,0,0,205814.08,FIFA Manager 11,http://www.vgchartz.com/game/65349/fifa-manager-11/,0
Prince of Persia: The Forgotten Sands,2010-06-08,75,6.6,50,1136217,10495,391,0,2904,16,221,Action Adventure,T,9,7,0,15,9,9,22724.34,Prince of Persia: The Forgotten Sands,http://www.vgchartz.com/game/41864/prince-of-persia-the-forgotten-sands/,0.03
Left 4 Dead 2: The Passing,2010-04-22,75,8.1,50,8130418,175625,4405,0,26625,8,69,Action,M,6,2,0,4,1,1,162608.36,Left 4 Dead 2,http://www.vgchartz.com/game/35022/left-4-dead-2/,0.36
Transformers: War for Cybertron,2010-06-22,75,7.9,47,87164,620,61,0,250,20,156,Action Adventure,T,12,8,0,17,5,5,1854.55319148936,Transformers: War for Cybertron,NA,NA
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,2010-06-22,75,7.4,43,212710,2052,24,0,350,23,12,Miscellaneous,E10+,16,6,1,1,0,0,4946.74418604651,Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,http://www.vgchartz.com/gamedb/?name=Sam+&+Max+Episode+105%3A+Reality+2.0,0
Sol Survivor,2010-03-15,75,8.2,50,4411689,109649,1761,0,8474,7,38,Strategy,NA,4,3,0,6,3,3,88233.78,Sol Survivor,http://www.vgchartz.com/gamedb/?name=Sol+Survivor,0
