game_title,game_release_date,game_critic_score,game_user_score,video_number,video_total_views,video_total_likes,video_total_dislikes,video_total_favorites,video_total_comments,game_total_critic_reviews,game_total_user_reviews,game_type,game_rating,game_critic_positive_reviews,game_critic_mixed_reviews,game_critic_negative_reviews,game_user_positive_reviews,game_user_mixed_reviews,game_user_negative_reviews,video_average_views,game_name,links,global_sales
DCS: Black Shark,2009-04-13,82,8.5,45,6906318,23930,1677,0,1841,12,54,Simulation,T,9,3,0,6,0,0,153473.733333333,DCS: Black Shark,http://www.vgchartz.com/gamedb/?name=DCS%3A+Black+Shark,0
The Sims 3: World Adventures,2009-11-16,81,8,50,4035577,78392,1410,0,21607,31,72,Simulation,T,29,2,0,8,0,0,80711.54,The Sims 3: World Adventures,http://www.vgchartz.com/game/37147/the-sims-3-world-adventures/,0.57
Tales of Monkey Island Chapter 5: Rise of the Pirate God,2009-12-08,81,8.4,0,0,0,0,0,0,33,26,Adventure,E10+,28,5,0,4,0,0,NaN,Tales of Monkey Island Chapter 5: Rise of the Pirate God,http://www.vgchartz.com/gamedb/?name=Tales+of+Monkey+Island+Chapter+5%3A+Rise+of+the+Pirate+God,0
Borderlands,2009-10-26,81,7.8,45,2479551,16303,398,0,5244,37,1370,Action,M,34,3,0,207,71,71,55101.1333333333,Borderlands,http://www.vgchartz.com/game/13873/borderlands/,0.18
Fallout 3: Broken Steel,2009-05-05,81,7.4,40,2147751,30680,410,0,3247,18,104,Role-Playing,M,15,3,0,7,1,1,53693.775,Fallout 3,http://www.vgchartz.com/game/13869/fallout-3/,0.98
Mirror's Edge,2009-01-12,81,8.1,50,938093,13291,184,0,2853,44,1037,Action,T,37,7,0,132,51,51,18761.86,Mirror's Edge,http://www.vgchartz.com/game/21687/mirrors-edge/,0.06
Defense Grid: The Awakening,2009-07-29,81,8.8,29,58299,705,15,0,114,11,270,Strategy,E10+,8,3,0,68,12,12,2010.31034482759,Defense Grid: The Awakening,http://www.vgchartz.com/gamedb/?name=Defense+Grid%3A+The+Awakening,0
Osmos,2009-08-18,80,7.6,4,127448,697,17,0,121,22,141,Miscellaneous,E,18,4,0,15,12,12,31862,Osmos,http://www.vgchartz.com/gamedb/?name=Osmos,0
The Chronicles of Riddick: Assault on Dark Athena,2009-04-07,80,8,24,874585,5577,234,0,1061,26,137,Action,M,21,5,0,16,5,5,36441.0416666667,The Chronicles of Riddick: Assault on Dark Athena,http://www.vgchartz.com/game/30394/the-chronicles-of-riddick-assault-on-dark-athena/,0.01
AI War: Fleet Command,2009-05-14,80,8.3,5,372,2,0,0,0,8,100,Strategy,NA,6,2,0,30,2,2,74.4,AI War: Fleet Command,http://www.vgchartz.com/game/40224/ai-war-fleet-command/,NA
